ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3169406,2,3,1,165502844,180306779,B,A,D,D,A,C,A,D,D,A
2017,1,17,1716505,2,3,1,139716726,147051514,A,C,C,B,A,A,A,E,A,A
2017,1,14,1400209,2,3,2,188853395,145141394,A,C,D,B,B,A,A,A,A,B
2017,4,42,4215505,2,3,1,216568662,200011731,B,A,C,B,A,A,A,C,B,A
2017,3,31,3127701,2,2,1,162213164,177361197,A,B,D,A,A,C,A,B,B,A
2017,3,35,3550308,1,2,1,198528395,258996805,A,A,C,B,A,A,B,B,B,B
2017,3,32,3204906,2,3,1,272083929,210358574,B,C,C,C,A,A,B,D,A,B
2017,2,29,2921708,2,3,1,121619989,175496741,B,B,C,A,B,B,A,A,A,C
2017,2,27,2704302,1,3,1,241692502,293086039,A,F,D,A,A,A,A,D,A,C
2017,1,17,1718204,2,2,1,162819412,210985239,A,B,C,B,A,B,B,A,A,A
2017,3,31,3170206,2,3,2,240889957,234234268,B,C,D,B,A,B,B,B,B,C
2017,4,43,4307708,2,3,1,174841279,21867675,B,B,C,A,A,C,B,E,A,A
2017,4,41,4124103,2,3,1,24671305,240624941,B,A,D,A,A,A,A,B,B,B
2017,4,43,4304408,2,2,1,320311998,282831529,A,A,C,A,A,A,A,D,E,C
2017,2,22,2206209,2,3,2,193070902,191209528,A,B,G,A,A,A,C,B,A,C
2017,4,42,4208302,2,3,1,143056872,153359075,A,C,E,A,A,A,NA,D,D,B
2017,2,27,2706703,2,2,1,194287528,198444733,A,F,C,B,A,A,B,D,A,B
2017,2,27,2709301,2,3,1,295473817,261545998,A,A,D,A,A,A,B,A,B,B
2017,4,42,4204608,2,3,1,195777253,234382886,B,A,D,C,A,A,C,B,A,C
2017,2,24,2401859,2,3,1,144683558,210516023,A,B,C,A,B,B,A,E,A,B
2017,5,52,5201108,2,3,1,233702808,274142675,B,NA,C,C,A,A,C,B,D,C
2017,2,29,2927705,2,3,1,160014003,16663082,A,B,H,B,A,B,C,C,A,C
2017,3,33,3305133,2,3,1,221406024,187448421,A,A,E,A,A,A,B,B,B,A
2017,2,29,2927408,1,3,1,23499932,243777547,B,C,C,B,A,A,A,A,C,C
2017,3,35,3550308,1,3,1,171967059,169413029,B,C,C,C,A,B,A,B,A,A
2017,5,51,5107602,2,2,1,268084812,231980354,A,C,C,D,A,A,A,D,B,B
2017,3,35,3549904,2,3,1,168646251,231463406,A,B,E,A,A,A,B,B,A,A
2017,5,50,5003702,2,3,1,331154592,321121574,A,A,D,A,A,C,B,A,A,C
2017,4,43,4321204,2,3,2,273932147,247850477,A,C,D,A,A,A,C,A,B,B
2017,3,31,3167202,2,2,1,146043758,142000189,A,C,D,B,A,A,A,B,NA,A
2017,2,23,2312908,2,3,1,318242857,348883126,A,C,C,D,A,B,A,D,E,C
2017,3,31,3170206,2,2,1,238641928,305069018,A,NA,D,D,NA,A,A,NA,NA,B
2017,4,43,4315305,2,2,1,24260551,215705458,B,B,D,B,A,A,C,C,C,C
2017,2,23,2307601,2,3,1,212424759,282161045,A,F,C,A,A,B,A,A,NA,B
2017,3,35,3517703,2,3,1,153468691,211780196,A,C,E,A,A,B,B,D,NA,B
2017,3,33,3304557,1,3,1,186610929,280762954,A,B,D,C,A,A,B,A,A,B
2017,3,35,3501004,2,3,1,194337663,206337848,A,F,E,A,A,B,A,A,A,B
2017,5,50,5002704,1,3,1,164557717,198070255,B,A,D,B,A,A,A,B,D,C
2017,1,14,1400209,2,3,2,177722332,239834455,A,B,D,B,A,A,A,C,A,C
2017,2,24,2405801,2,3,2,155907288,1533982,A,NA,F,A,A,A,NA,C,A,A
2017,5,52,5217708,2,3,1,291441148,253703131,A,A,D,A,A,A,A,B,C,A
2017,2,26,2601409,2,3,1,138411289,156422869,B,C,F,A,A,B,B,E,D,A
2017,4,43,4322509,2,3,1,156657219,195724174,A,A,D,B,A,B,C,A,A,C
2017,2,29,2927408,1,3,1,176839736,207358721,A,C,F,D,A,A,A,D,A,C
